               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  99,            0.038134,             0.00861,           0.0052675,             0.77667,             0.99093,             0.95175,             0.50331,             0.02858,           0.0047536,           0.0030421,           0.0080596,           0.0080596,           0.0080596
                 100,            0.046449,            0.010122,           0.0051559,             0.94023,                   1,             0.98375,             0.72649,            0.023884,           0.0041388,           0.0032196,           0.0080398,           0.0080398,           0.0080398
                 101,            0.031276,            0.008623,           0.0056562,             0.97618,                   1,             0.99129,             0.79523,            0.024048,           0.0041098,           0.0031859,             0.00802,             0.00802,             0.00802
                 102,            0.032671,           0.0073646,           0.0074683,             0.86495,                   1,             0.99356,             0.70092,             0.02787,           0.0044117,           0.0033129,           0.0080002,           0.0080002,           0.0080002
                 103,            0.034301,           0.0092929,           0.0060996,             0.88732,             0.93909,             0.96991,             0.69032,            0.025036,           0.0045278,           0.0032729,           0.0079804,           0.0079804,           0.0079804
                 104,            0.043662,           0.0079474,           0.0055833,             0.96001,                   1,               0.995,             0.79244,            0.023889,           0.0040707,           0.0032898,           0.0079606,           0.0079606,           0.0079606
                 105,            0.034429,            0.008773,            0.005336,             0.99274,                   1,               0.995,             0.78834,            0.021514,            0.004151,            0.003362,           0.0079408,           0.0079408,           0.0079408
                 106,             0.03602,           0.0089053,           0.0055143,             0.99727,                   1,               0.995,             0.70612,            0.024009,           0.0040821,            0.003068,            0.007921,            0.007921,            0.007921
                 107,            0.031252,           0.0094505,           0.0052276,             0.99716,                   1,               0.995,             0.81208,             0.02124,           0.0040516,           0.0031264,           0.0079012,           0.0079012,           0.0079012
                 108,             0.03917,           0.0083072,           0.0053805,             0.99518,                   1,               0.995,             0.69295,            0.032268,            0.004119,           0.0029378,           0.0078814,           0.0078814,           0.0078814
                 109,            0.040736,           0.0070935,           0.0058696,             0.99242,                   1,               0.995,             0.68201,            0.031415,           0.0041816,           0.0030408,           0.0078616,           0.0078616,           0.0078616
                 110,            0.041418,           0.0069851,           0.0047461,             0.99479,                   1,               0.995,              0.7912,            0.026767,           0.0038278,           0.0030281,           0.0078418,           0.0078418,           0.0078418
                 111,            0.035991,           0.0082002,           0.0065263,             0.99597,                   1,               0.995,             0.78372,            0.026432,           0.0039485,           0.0031703,            0.007822,            0.007822,            0.007822
